Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
3Day Blinds,Director IT Operations,3dayblinds.com,"CA
",250000,"Manufacturing / Natural Resources
",Custom window coverings,"1000-5000 employees
","$250M-$500M
",5,14,2,150,Windows 10,EPIC systems,"AWS
",securing remote workforce,no,no,no,no,iot,wifi expansion,no,"keeping it team happy and engaged, avoid burn out",Summer 22,0,0,1,1,1,1
A Book Company llc,CTO,ecampus.com,"KY
",500000,"Retail
","Books, College Merchandise, Course Material Vendor","100-250 employees
","$100M-$250M
",3,15,3,50,windows,GreatPlains,"Google 
",no,"currently we are a hosted solution and would like to move to cloud. very interested in learning disaster recovery, database updates, cost",no,interested in all aspects of data management especially as it pertains to cloud,application project management,no,no,no,would like to empower my team leads,Summer 22,1,0,0,3,5,0
AAFES,System Analyst Lead,shopmyexchange.com,"TX
",50M,"Retail
","Retail support (eCommerce B2C, B2B, mortar-and-brick stores) for military, Militar combat uniforms, and discounted school lunches per year for children attending DoD school overseas.","10,000+ employees",$5B+,Mainly two data centers: headquarter and disaster recovery center,500+,50,50,"IBM zOS, Linux (AIX, Redhat, Suse, Oracle etc), Microsoft Windows, MacOS ",Oracle,"AWS
",no,"integrate with the existing systems in diverse environments (mainframe, windows servers, linux servers, cloud) and security zones (pci and pii)  ",no,no,"i owned lots of on-premise applications in procurement, audit, loss prevention, human capital analytics etc that needed to be upgraded or replaced. want to seek for cloud based solution options for the evaluation.",no,no,no,no,Summer 22,1,2,1,3,5,0
AAFES,VP IT Operations,shopmyexchange.com,"TX
",$5M,"Retail
","Many - Fuel, Food, Big Box, Convenience, etc.","10,000+ employees",$5B+,115,550,75,150,Multiple,Mixed,"Hybrid
",no,"portability, security, cost","call center automation, workforce growth/retention/recruiting, improving remote work technology",no,"more agile development, standard development processes, containers/improved cloud enablement",no,no,no,no,Summer 22,1,1,0,3,3,0
ADP,Director of Product Management,adp.com,"NJ
",Not sure,"High Tech
",Human Capital Management products/services,"10,000+ employees","$1B-$5B
",Not sure,NO,NO,NO,NO,NO,"Hybrid
",reduce attack surface,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
ADT LLC,"IT Director, Data Services",adt.com,"FL
",$15M,"Other
",Residential and Commercial Security,"10,000+ employees","$1B-$5B
",10,NO,NO,NO,NO,Oracle,"Google 
",no,"database migration to cloud
database monitoring in cloud
sql performance monitoring in cloud
site reliability engineering for cloud and on-prem",no,no,no,no,no,no,no,Summer 22,0,1,0,1,2,1
AGI Industries,Director of Information Technology,agiindustries.com,"LA
",1200000,"Other
","Industrial Equipment Supplier
Industrial Equipment Manufacturer
Industrial Equipment Service & Repair
Industrial Equipment Remote Monitoring","100-250 employees
","$100M-$250M
",17,NO,NO,NO,Windows,Epicor,"Azure
","we are looking to enhance our phishing tests and security awareness training for end-users.  currently we are using office 365's built-in tools but would like to move to a more robust solution.

we are taking a hard look at our current firewall solution and also exploring adding a security provider that can assist us with new equipment/configuration and potential provide a security operations center.","we will be evaluating saas pm tools in the coming quarter.  specifically for one of our engineering and equipment design departments to assist in their day to day work/task flow.

currently our help desk is using it boost for documentation and we are looking at alternatives.  also we are considering replacing other pieces of the internal it stack such as connectwise automate.",no,we are pushing for an evaluation of our processes in the service & repair department but this has not been approved and could be 9-12 months out.,none on the roadmap.,our biggest initiative in this area is in regards to the use of microsoft teams.  the tool is not being properly used(only for meetings currently) and we would like to explore options for incorporating it to get the most out of this product.,we have a refresh of routers and switches planned for this year.  currently using mikrotik routers and mostly dell switches.,"this was detailed in the first sections.  we are looking for a cyber security provider to assist with hardening of our network, pen testing, and potentially a security operations center.",end user training is always on the top of our list.  we are looking for ways to train employees more efficiently on how to use software and systems.,Summer 22,10,2,1,4,7,4
AMD,Manager - Global IT SOX Compliance,amd.com,"CA
",200 million,"High Tech
","Processors, Graphics, Accelerators, Silicon devices, System-on-Modules","10,000+ employees",$5B+,10+,NO,NO,NO,NO,NO,"Azure
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
APFM,VP - IT,aplaceformom.com,"NY
",100 MM,Travel / Hospitality / Recreation / Entertainment,senior living placement,"500-1000 employees
","$250M-$500M
",0,150-180,3,NO,NO,NO,"AWS
",na,na,na,na,na,na,na,na,na,Summer 22,0,0,0,0,0,0
APL Logistics,Director Information Security,apllogistics.com,"AZ
",$55M,"Transportation
",We are a global company that handles the process of getting our customers' products from point A to point B. We also provide 3PL and 4PL service from our warehouses.  ,"5000-10,000 employees
","$1B-$5B
","We have 2 datacenters, Dallas, TX and Singapore. We also have servers in some business locations around the globe. ",130,4,I don't understand this question,Mostly Windows 10 & 11. ,SAP,"Azure
","we are currently evaluating soc as a service, penetration testing, vulnerability management. we are looking to move to a zero trust environment in the next 24 months. we are always concerned with ransomware and insider threats. ",no,no,no,no,no,no,"as mentioned above we are evaluating soc as a service, penetration testing, and vulnerability management. these could be done with consulting or outsourcing companies. ",no real initiatives in the next six months. ,Summer 22,9,1,0,0,1,0
