Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Tulane University,IT Manager,tulane.edu,LA,900000,Education,"Medical Research, Hospital, Higher Ed",1000-5000 employees,$500M-$1B,25,35,4,3,Windows and MacOS,CDW,Azure,yes,yes,"top security challenges are direct results of covid pandemic by having a dispersed workforce that requires access to critical systems. looking for better remote access solutions, managing byod & iot on-site, and improving our workforce knowledge on security threats.",yes,yes,"prior to covid, we were looking into the possibility of moving to a hybrid cloud but that project was pushed back for obvious reasons. would like to re-engage in the pro's & con's for cloud migration.",yes,yes,looking to enhance our digital footprint on customer experience as well as for our workforce. especially with remote workers.,yes,yes,need a solution for data management & warehousing for our erp systems. currently using monarch and other off the shelf products but need a better user-friendly solution so adhoc and daily reporting that end-users can run themselves rather than have it ticket opened.,yes,yes,currently have in-house developers that work on our ehr platform that really need better guidance/tools for security either in-house or outsourced,yes,yes,"have aging on-prem avaya phone system for analog, digital and voip protocols but will be needing replacement in the near future. looking for solutions that contain better byod along with sms/mms capabilities as well as softphone on laptops/desktops.",yes,yes,biggest challenges in the networking scope of things would be improving wifi around the campus to support tablets that are replacing paper clipboards in the field. currently using solarwinds for network management and would like to research other platforms and their unique options.,yes,yes,looking to see about outsourcing help desk and other services to reduce the need on hiring our own talent and educating them on our unique platforms. rather look at paying for outsourced/contracted educated talent when needed and to expand or reduce as needed based on current projects,yes,yes,looking to see about outsourcing help desk and other services to reduce the need on hiring our own talent and educating them on our unique platforms. rather look at paying for outsourced/contracted educated talent when needed and to expand or reduce as needed based on current projects,",Application Security and WAFSecurity Awareness Computer-Based Training for end-users,Data Security,DevOps Security,Disaster / Backup RecoveryEmployee monitoring - Insider Threat Detection,Encryption,Endpoint prevention,Fraud Prevention / Transaction Security,Identity & Access Management,Multi-factor authentication,Zerotrust,Mobile App Security,Mobile Security,Network Security - FirewallNetwork Security - Monitoring & forensicsOutsourced Consulting,Penetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access ControlRansomware,Risk & Compliance,Security Incident ResponseWeb Security",",Business IntelligenceCo-locationDocument Management SystemsVirtualization","Digital Customer Experience Optimization,Digital WorkforceWorkflow and Content Automation","Backup/Disaster RecoveryBig Data & Analytics,Business IntelligenceData Warehousing,EncryptionNetwork and application performance monitoringServer Storage","APIsDevOps,Microsoft StackOutsourced Software / Application DevelopmentWeb",",Hosted PBXTelecom Expense Management,Unified Communications,Video Conferencing","Company IntranetHosting,MobilityNetwork ConnectivityRoutingSwitchingWAN,WIFI,Wireless",",Call CentersDigital Worker,IT Service Management (ITSM),QA/TestingStaffing / Recruiting",",IT Asset Management,IT CertificatesIT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coaching,Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffingStaffing - Staff Retention",Spring 22,2,8,5,6,10
Susquehanna University,Chief Information Officer,susqu.edu/IT,PA,2000000,Education,Susquehanna University is a private liberal arts university in central Pennsylvania.,500-1000 employees,$50M-$100M,1,16,2,0,Windows 10 Enterprise & Mac OS Big Sur,Ellucian,Azure,0,0,"we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform.",0,0,"we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform, with all backups being cloud-based.
 
 
 
 we are also interested in virtual desktop / streaming application solutions to replace some of our physical academic computer labs.",0,0,no,0,0,"we have recently adopted a data lake product, edify, from eab. we will be working on system integrations, and data export to visualization/dashboard/reporting tools like powerbi and tableau.
 
 
 
 we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform, with all backups being cloud-based.
 
 
 
 we are looking into a specialized storage solution for video-grade storage (mass storage, high speed), for our videographers and academic video courses.",0,0,no,0,0,we use cisco voip as our main phone system and ms teams for video collaboration. voip system is up for renewal in 2 years - interested in assessing alternative solutions for more unified communications before making decision to renew maintenance.,0,0,"we will replace approximately 1/5 of our edge wired and wireless infrastructure, as we do each year. we have an interest in looking into hospitality wifi access points for our dorms.",0,0,"we continue to assess our outsourcing for complex areas, or areas we are lacking expertise or have vacancies.",0,0,"we continue to work with our hr department to offer professional development opportunities for both hard and soft skills to our it staff, especially as new hires come on board or as other staff move into new roles, or as we adopt new technology platforms.",0,0,0,0,0,0,0,0,0,Fall 21,3,8,2,5,11
Community Psychiatry,"Vice President, Corporate Development",communitypsychiatry.com,CA,2000000,Healthcare / Hospital,Behavioral health practice management,500-1000 employees,$50M-$100M,120,20,3,50,Windows,Dynamics,Azure,0,0,"end user training around cybersecurity awareness including phishing detection / vigilence. incident response protocols re: ransomware attacks, internal vulnerability detection, and employee / user behavior monitoring and threat detection.",0,0,"transitioning our traditional on prem infrastructure to azure and ensuring internal it staff don't feel threatened by the change. coordinating the process change for technical work and support of the cloud infrastructure between internal it staff and the new msp. the change / transition between a traditional network path / mapped drive for all company resources to using onedrive / sharepoint for company resources, and eliminating the need for a vpn for all user devices (moving to azure ad).
 
 
 
 we are in the midst of a cloud migration project and need to coordinate the above to make sure its successful and minimize disruption for our enterprise.",0,0,"we are kicking off a digital patient journey transformation project, and are in the midst of completing a patient journey mapping exercise which will serve as the foundation on which we want to build the technology to support. we're looking at using a combination of salesforce, marketing cloud, experience cloud, twilio, and our phone system (8x8) along with a host of other ancillary products.",0,0,"we just implemented domo bi a year ago, and our team is tasked with building the data warehouse including the blending of newly acquired businesses into our warehouse in a homogenized manner. we have numerous initiatives around implementing clinical outcome data from our emr/pm systems along with building some predictive models in the future to predict patient clinical outcomes, patient lifetime values, etc.",0,0,"we have two custom built applications that are in development, and have some challenges around prioritization of development with the outsourced vendor we currently use. the outsourced vendor also provides a parttime cto for our east coast headquarters, however we will be eliminating his time with us as of jan 1st, and are looking to hire a software development analyst to own the products / product lifecycles as his replacement.",0,0,"we are implementing 8x8 throughout our enterprise including our call centers, along with twilio for enhanced capabilities. looking for ways to optimize the patient experience with automated texting, automated engagement, and simplified experience for patients and our call center staff.",0,0,we're casually browsing for the best solution for a company intranet. we currently use sharepoint loosely but there may be better solutions.,0,0,"we're exploring options for scaling our business through the use of outsourced services, including for rcm functions, it functions, and possibly call center functions.",0,0,"our team is expanding, although the amount of workload is growing faster than i can grow my it department. while we use agile / scrum teams for the majority of our work, we're beginning to find that our it teams are struggling with workloads across multiple scrum teams they're part of.",0,0,0,0,0,0,0,0,0,Fall 21,8,7,2,7,7
Fraser,Executive Vice President & Chief Financial Officer,fraser.org,MN,3200000,Healthcare / Hospital,Behavioral and Mental Health services,1000-5000 employees,$100M-$250M,49,16,3,8,Many,Cerner,Azure,0,0,"budget constraints
 
 
 
 consumer computing culture",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage
 
 
 
 new ehr",0,0,no,0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 in house talent to manage",0,0,"budget constraints
 
 
 
 rapid growth
 
 
 
 ratio of staff to end users/devices",0,0,0,0,0,0,0,0,0,Fall 21,0,7,0,8,15
Asurint,"Senior Vice President, Operations",asurint.com,OH,########,Other,"Background checks, employment verification, BMV checks, education verification",100-250 employees,$50M-$100M,Main office and datacenter,35,3,250,"Windows 10 21H1, Server 2012 R2-2019, macOS Catalina, Ubuntu",MS Great Plains,Google,0,0,no,0,0,"we are looking for a cost effective, turnkey solution for bc/dr. zerto has been a solution of interest recently
 
 
 
 we are also contemplating a lift-&-shift of our current legacy on-prem infrastructure to a cloud provider, most likely azure (majority windows servers) due to ea licensing benefits, or gcp as our next gen platform resides there
 
 
 
 my team is increasingly adopting devops/infrastructure as code, so devops meetings are of interest
 
 
 
 we currently have cloud-based helpdesk, itsm, and end user device management systems, hearing of other vendor solutions is of interest
 
 
 
 vmware is our current virtualization platform, other vendor solutions are of interest",0,0,we have become a fully remote workforce. i am interested in solutions for paperwork reduction and further streamlining our remote work experience,0,0,"we currently have platforms for encryption, network/app monitoring, storage, other vendor solutions are of interest
 
 
 
 while we are planning to fully shift to cloud, hci is of interest in case the business decides some level of on-prem infrastructure is cost effective",0,0,no,0,0,we currently have cloud-based video conferencing and on-prem uc/cc. we are looking to move to a single solution voip/video/fax platform,0,0,"having moved to a fully remote workforce, i am interested in solutions for monitoring/troubleshooting vpn/connectivity issues for end users.",0,0,"we are strongly considering migrating legacy on-prem servers/applications to a cloud provider, information on best practices, challenges, and professional services is of interest
 
 
 
 we have need of devops contracting. we don't have enough demand for a full-time role, but to have bandwidth constraints with our current staffing levels",0,0,"i run a very lean team, and we aren't looking to increase headcount any time soon. highly automated, intuitive platforms for asset management are of interest
 
 
 
 having a small but mighty team, i am very interested in solutions for burnout prevention, retention, efficiency and effectiveness, and resources on being a better leader
 
 
 
 i am also happy to learn about project-based outsourcing, for projects my team doesn't have the bandwidth to tackle",0,0,0,0,0,0,0,0,0,Fall 21,2,6,1,11,12
Retail Merchandising Services,"Director, Retail",rmservicing.com,MN,"We don't share this info, I'm afraid.",Retail,"We offer in-store merchandising services within retailers, on behalf of the product vendors. Servicing including, but not limited to, zoning and stocking, planogram resets and maintenance, signage changes, product stickering updates, out of stock inventory monitoring, and the like. Our in-store reps use a proprietary mobile app and website to complete all work efforts, and we provide detailed reporting to vendors, and their 3rd party providers (where applicable).",1000-5000 employees,Less than $50M,1,0,0,0,0,0,Azure,0,0,no,0,0,we are moving from 100% on-premise solutions to microsoft 365 this fall. we will be allowing users to use personal computers when needed to access our network online. i want to understand more about protecting our remaining on-premise network while using this solution.,0,0,we are moving from 100% on-premise solutions to microsoft 365 this fall. we will be allowing users to use personal computers when needed to access our network online. i want to understand more about protecting our remaining on-premise network while using this solution.,0,0,we just moved our backups to cloud storage with azure earlier this year. we have no immediate plans for further changes.,0,0,we have in-house developers and no current plans for changes at this time.,0,0,we are currently using ringcentral for all communication needs. but considering a move to microsoft teams and business phone.,0,0,we have no plans for changing anything related to our network at this time.,0,0,we have no outsourcing plans at this time.,0,0,our company struggles with on-going training and could definitely use improvements in this area. i am personally always looking for learning opportunities.,0,0,0,0,0,0,0,0,0,Fall 21,2,6,0,5,8
PBI-Gordon Companies,Vice President and General Manager,pbigordon.com,KS,"Roughly $250,000 annually",Manufacturing / Natural Resources,0,500-1000 employees,$250M-$500M,8,16,2,4,Microsoft,Microsoft,Hybrid,0,0,"cloud security, ransomware protection, end user training, data loss prevention-
 
 our hybrid environment has raised concerns over security of both cloud and on-premise services.",0,0,"cloud archive storage is a major initiative and we are very concerned with encryption/security and performance.
 
 saas vendor assessments (risk, compliance, data ownership gdpr)",0,0,none. we are well positioned and stable.,0,0,"we are in a transition year with current data management initiatives. rearchitecting on-prem and cloud data storage and io. moving from a co-lo to a new hybrid on-prem dc to private owned distributed data center to cloud. 
 
 
 
 encryption, network performance are key areas of understanding.
 
 
 
 bi and reporting visualization is another area of interest.",0,0,"we are ms d365 erp and have limited development. 
 
 we manage our app lifecycle and validation. 
 
 we consider and manage our api partners.",0,0,"we are considering a change in voip provider, early stages, target 2023 for full migration
 
 
 
 we are utilizing teams for most vc at this point and are working to optimize our conference spaces to better integrate our remote and our in office workers.",0,0,no major initiatives in this domain.,0,0,under the project for d365 we are looking at software and app development partners. we are currently engaged with a local firm for cybersecurity services but open to alternatives.,0,0,"expand our connection with the business with advisory relationships across the organization. 
 
 
 
 training for all staff on cybersecurity, raising the baseline knowledge and equipping all for roles in incident response teams. 
 
 
 
 burnout prevention is a key concern with the impact of remote working and extended/variable hours of access.",0,0,0,0,0,0,0,0,0,Fall 21,14,6,0,8,11
The American Society of Mechanical Engineers,sabshonj@asme.org,www.asme.org,NY,,Education,"Educational services, publications, conferences and events.","500-1,000",$250M-$500M,6,18,4,35,Windows 10,Salesforce,Azure,Yes,Yes,"ddos attacks, mdr, api security",Yes,Yes,"digital transformation, refactoring applications",Yes,Yes,"customer experience, rpa",Yes,Yes,migrating data to the cloud.,Yes,Yes,"api integration, low code, iot, alm",Yes,Yes,"voip, call center application",Yes,Yes,"sdwan, wan",Yes,Yes,"cybersecurity services, itsm, digital transformation",Yes,Yes,"it training, it asset management, cybersecurity staffing","Application Security - Vulnerability Assessment,Application Security and WAF,API Secutiry,Cloud Security,Critical Event Management,Security Awareness Computer-Based Training for end-users,Data Loss Protection,Data Center Security,Data Security,DevOps Security,Disaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint prevention,Fraud Prevention / Transaction Security,Identity & Access Management,Multi-factor authentication,Zerotrust,Industrial / IoT Security,Managed Security Service Provider,Mobile App Security,Mobile Security,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Outsourced Consulting,Penetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access Control,Privileged Access Management,Ransomware,Risk & Compliance,Security Incident Response,Security Operations Center - SOC as a Service,Security Rating / Benchmarking,SIEM,SOAR - Security Orchestration Automation and Response,Third Party Cyber Risk Management,Threat Intelligence,User behavior monitoring,Web Security","Backup/Disaster Recovery,Business Intelligence,Cloud Migration Services,Co-location,Connect Cloud,CRM,Dev-Ops,Document Management Systems,ERP,Help Desk,IoT,IT Service Management (ITSM),Managed File Transfer,Mobility,SaaS Management,Storage,Virtual Machines,Virtualization","Artificial Intelligence & Machine Learning,Digital Consulting,Digital Customer Experience Optimization,Digital Transformation,Digital Security,Digital Workforce,Robotic Process Automation (RPA),Workflow and Content Automation","Backup/Disaster Recovery,BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Business Process Management,Customer Data Platform,Data Cleansing,Data Governance & MDM,Data Integration & Access,Data Quality,Data Visualization,Data Warehousing,Encryption,Hyper-converged Infrastructure (HCI),Network and application performance monitoring,Outsourced Consulting,Server Storage","APIs,Application Architecture,Application Integration,Application Lifecycle Management,Automation Testing Software,Cloud,DevOps,IoT,Low Code Development Platform,Microsoft Stack,Mobile,Open Source,Outsourced Consulting,Outsourced Software / Application Development,Software Compliance,Web","Business SMS and MMS,BYOD Employee Cell Device Management,Cloud based phone systems (VOIP),Contact Center Optimization,Contract Management,Contract Negotiations,Enterprise Mobility Management,Hosted PBX,Outsourced Consulting,Telecom Expense Management,Unified Communications,Video Conferencing","MPLS,Routing,SD-WAN,SwitchingWAN,WIFI,","APIs,Application Modernization,Business Intelligance,Call Centers,Cloud Enablement,Cloud Workload and Migration,Cybersecurity Services,Database Modernization,Digital Transformation (Analytics, AI),Digital Worker,IT Service Management (ITSM),QA/Testing,Software / Application Development,Staffing / Recruiting,Technology Lifecycle Management,Vendor Evaluations","IT Advisory / Analyst Support,IT Asset Management,IT Certificates,IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coaching,Staffing - Outsourced staffing - Project based,Staffing - Permanent to hire IT staffing,Staffing - Permanent to hire Cybersecurity staffing,Staffing - Staff Retention,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Fall 22,11,5,1,10,5
Lone Star Overnight,IT Director,lso.com,"TX
",100000,"Transportation
",Parcel logistics,"100-250 employees
","$100M-$250M
",27,3,1,20,Windows,NO,"AWS
",yes,yes,"general user and endpoint protection.  we currently have a mdr solution through a local mssp (cylance) and i'm looking at alternatives.  endpoint protection, alerting, and general network monitoring are the key isssues i'm looking at. managed firewall through our isp. ",yes,yes,moving to aws and attempting to leave our datacenter within the next year.  endpoint mobility and management another item of note. ,yes,no,none of these are relevant currently.,yes,no,none of these are relevant currently ,no,NO,no,yes,yes,currently have a hosted voip solution through isp.  our customer service director is looking for an omnichannel solution contact center.  phone system wont change but what can we layer on top? ,yes,no,there has been expressed interest in getting a company intranet site setup.  currently our sharepoint experience is extremely lackluster and our hr would love a complete overhaul for employees. ,no,NO,no,yes,no,none of these are relevant currently," Endpoint detection & response (EDR) Penetration Testing and Simulation, User behavior monitoring,"," Cloud Migration Services, Help Desk Mobility",",",0,","," Cloud based phone systems (VOIP), Contact Center Optimization, Enterprise Mobility Management Unified Communications,"," Company Intranet,",",",0,Summer 22,6,5,2,1,3
Constellis,CISO,www.constellis.com,VA,,Government,"Physical security, investigations, disaster and emergency services, K9 services, training, mine action, Facilities O&M and Base Operations Support","10,000+",$1B-$3B,35+,50,15,5,Windows 10,Costpoint,Azure,Yes,Yes,identity management.,Yes,Yes,none.,Yes,No,none.,Yes,Yes,data labelling and dlp policies.,Yes,No,none.,Yes,No,moving telephony to microsoft teams.,Yes,Yes,potentially looking at outsourcing our datacenter with co-management.,Yes,No,none.,Yes,Yes,nothing this year as the budget already has been allocated but this would be planning for 2023.,"Data Loss ProtectionData SecurityDisaster / Backup RecoveryIdentity & Access ManagementMobile SecurityRansomware,Risk & Compliance,","Backup/Disaster RecoveryCloud Migration Services,Co-location",",","Backup/Disaster RecoveryData Cleansing,Data Governance & MDM,",",",",","Outsourced Consulting,",",",",Team Efficiency and Effectiveness Training,",Fall 22,0,4,0,0,2
